item_id,deposit,monthly_rent,district_uuid,room_qty,unit_area,has_elevator,building_floor_count,unit_floor,has_storage_area,property_age
027c2205-c8e0-4202-bcf6-e0feb21fbfe8,144000000,720000,80aa3b0d-de2b-4703-b6ae-539eaf06f253,1,63,FALSE,3,1,FALSE,30
027e5b51-0bbb-4935-8201-d8744d7f0efe,183600000,0,a655e097-ec60-4b2c-9187-91232457b4a3,2,74,TRUE,5,2,TRUE,6
027f260d-213d-440f-bdcd-9ffbef0bf7dd,28800000,720000,30680871-7d7b-49a0-8946-ede2df725fcd,1,53,FALSE,4,1,FALSE,30
02807dbc-bb7c-4e5e-b3c5-9f5dfb3f0278,72000000,1080000,46bf713d-42cc-43d2-afcb-a29e2b45a344,1,58,FALSE,4,2,TRUE,8
0292179e-27b1-45e3-b2b2-49b7b18010c9,18000000,1152000,3ac48cb3-a697-4d94-a97c-3055f1ad4790,1,47,FALSE,4,2,FALSE,14
02b135bc-bd01-47d0-bbec-40c37cd2ebc3,180000000,0,b790f536-c274-4147-86e0-94d9b6d7352d,2,92,TRUE,5,1,TRUE,9
02b7ce7b-9d6b-4c50-9779-9ef754310bf5,108000000,504000,58e59fa9-9947-478f-9cef-bc6a2cbe49a9,2,79,TRUE,4,1,FALSE,7
02bb270b-4800-4db5-9f9b-94f6dd2bbc96,50400000,1080000,b790f536-c274-4147-86e0-94d9b6d7352d,1,58,FALSE,4,2,TRUE,15
02bebb10-cbd4-4fbf-86df-f0820439b9b7,100800000,432000,eb88325f-5388-4cf5-99ad-3c6295a105e9,1,58,TRUE,4,1,TRUE,6
02bf0705-4f87-4272-82b4-bfd0bbcd5d97,46800000,0,e15378f5-652b-4c49-9c25-6e9f8414d5e7,1,63,FALSE,2,1,FALSE,10
02c6417f-c134-4527-b85b-64e7cc8e95b5,28800000,1008000,dde63711-6e28-424c-975b-b5e55c99cefa,2,53,FALSE,4,1,FALSE,13
02cb3f12-cf3b-4d6b-b641-99be631bf4f2,36000000,1800000,0ffe3572-e03a-46d7-9ae3-3e50ed19e6c4,1,63,FALSE,3,1,TRUE,15
02d59f7c-b9eb-42fb-88c3-9882fd569d5e,108000000,1296000,c62e3b32-7b25-4914-9178-8e445194035c,2,95,FALSE,3,0,TRUE,15
02d998e2-d466-4657-9cf7-9d7fb317c8eb,28800000,1440000,97780d3b-5100-46f7-a005-e06862d0e083,1,56,FALSE,3,2,TRUE,10
02e30435-d03d-4fc8-86bb-503be7e844e2,36000000,720000,dde63711-6e28-424c-975b-b5e55c99cefa,1,47,FALSE,4,0,TRUE,15
02e37c64-c7dc-41c4-8cb7-0b0f02067dbb,72000000,2160000,3aae86bb-e1c4-4fef-bfbc-ef1cf94e44ae,2,105,FALSE,3,1,FALSE,22
02e88140-e126-44d0-b65b-b8ff39756713,86400000,504000,f9659f99-06e9-4f58-8402-3138acb47923,2,63,TRUE,5,3,TRUE,7
03063b95-d9bb-43cb-b1d0-0eb6b1d4bdbb,180000000,0,4db2e17e-c169-4b39-9247-ee875d2792b9,2,74,FALSE,,3,TRUE,9
030b4b89-0b0b-4f29-9ffe-764ef90bd068,57600000,2880000,0463c357-b4ef-49ed-9327-fcba2397ef6d,3,126,FALSE,,1,TRUE,30
032be1c4-19c7-4d81-8d3e-9c014e32941b,64800000,0,30680871-7d7b-49a0-8946-ede2df725fcd,1,55,FALSE,4,4,TRUE,10
0334e457-3690-49f1-8bbe-4909c5398e1f,25200000,0,16b74291-ee13-4024-98b4-de1b0854e973,0,26,FALSE,4,-1,TRUE,12
03441e4e-d5b3-420e-8077-0b460064d6ce,36000000,1440000,fd5ad07f-14b2-4491-aeb3-31651e92e1fd,1,68,FALSE,2,0,TRUE,20
03453bb7-1b59-4c53-91db-254807724d12,28800000,1440000,46bf713d-42cc-43d2-afcb-a29e2b45a344,1,53,TRUE,,2,TRUE,6
0349d72d-77bb-47c6-9d36-e80bf4e34303,108000000,0,0a698943-b70c-43b7-aabd-15de1f43d392,1,62,TRUE,,1,TRUE,12
0357956b-675d-428d-b812-f1b4f6cd5d22,108000000,360000,b790f536-c274-4147-86e0-94d9b6d7352d,2,89,FALSE,2,1,FALSE,20
035be1f5-9cee-4d88-95ee-963bfb172dd0,36000000,2304000,87944a9f-b454-4847-9dc8-bc9f95198247,1,58,FALSE,,2,TRUE,16
036f2f3e-016b-4bb3-9c45-2c874bd90e42,72000000,0,b790f536-c274-4147-86e0-94d9b6d7352d,1,45,FALSE,,1,FALSE,12
038375b6-c085-4e20-b101-2b4e47cd0459,57600000,504000,ceeac06a-a89d-4934-98a8-e6183ef0a0e9,1,46,FALSE,,3,TRUE,5
03991599-d4b1-4841-b015-d64087709106,86400000,0,b790f536-c274-4147-86e0-94d9b6d7352d,1,54,FALSE,,1,FALSE,19
03b7b2b2-81e9-42bd-bf40-b33d20d6e7ff,54000000,0,53abf70b-ee3b-4ecd-bf69-4ab9dcfa65bb,1,63,FALSE,,2,FALSE,4
03ebebd0-bb73-452c-98fb-b4d5b6fef89d,72000000,2880000,1c10c124-59c8-4f0f-954d-1b1993c1c01b,2,96,TRUE,,4,TRUE,6
04099fb3-dbb3-4846-b5bd-d96f05b9b132,68400000,0,d08dcedb-4fa8-4a12-8e8e-59686103f5c2,1,63,FALSE,3,3,TRUE,30
04116992-918b-4074-bd43-685f7e67c62f,144000000,0,eb88325f-5388-4cf5-99ad-3c6295a105e9,1,74,FALSE,3,0,TRUE,18
042b3ec3-20bc-425f-993d-906bc421f25e,136800000,720000,c62e3b32-7b25-4914-9178-8e445194035c,1,82,TRUE,5,3,FALSE,10
042bb8fb-e50c-41ef-93d6-9b63525efc53,57600000,1080000,5e812f0b-18fa-4166-b2df-ee598d4126db,2,68,FALSE,4,1,FALSE,12
0436726b-6fe8-43bb-9607-0ee252bcdb70,50400000,2736000,36708566-4454-4a4d-a7ac-2309347c8127,2,63,TRUE,,4,TRUE,3
04373dd8-2bc2-4985-80b7-45309cbd498f,14400000,1440000,d08dcedb-4fa8-4a12-8e8e-59686103f5c2,1,53,FALSE,4,3,FALSE,13
0447f6cc-9b1c-4b30-9bfb-567c9d434199,79200000,0,d08dcedb-4fa8-4a12-8e8e-59686103f5c2,2,91,FALSE,4,2,FALSE,35
045355ff-82bb-4c17-bd56-8b2546717b03,50400000,432000,d08dcedb-4fa8-4a12-8e8e-59686103f5c2,1,42,FALSE,,1,TRUE,18
0465cc5e-1df9-4d7f-9cbf-17de8c720fc4,129600000,0,b97e5e68-4b2a-4b41-94a6-cf95bde6f119,2,76,TRUE,,1,TRUE,8
048b4147-c3e2-4cd9-b5d2-5b480655dbc0,144000000,0,eb88325f-5388-4cf5-99ad-3c6295a105e9,2,84,TRUE,,,FALSE,7
0493f5cb-5fdb-4b4b-9991-49be1b951fc5,46800000,720000,b790f536-c274-4147-86e0-94d9b6d7352d,1,62,FALSE,4,4,FALSE,10
0498c892-1b20-4027-9fe7-58b68bbcb80e,18000000,1512000,80aa3b0d-de2b-4703-b6ae-539eaf06f253,1,39,TRUE,,1,TRUE,10
049ed5d2-8f41-4bc4-b600-e81307e4ef72,108000000,360000,fd5ad07f-14b2-4491-aeb3-31651e92e1fd,1,47,FALSE,,4,TRUE,20
04b08c45-0bb6-4dd5-9486-8dff7290c19f,86400000,0,bed1acc9-2435-42f4-8677-4946abee0391,0,53,FALSE,2,0,TRUE,20
04b6d6c6-4465-48b8-b04b-86b286d1cbfb,122400000,0,340fb2dc-2d83-44b2-9140-0451bdae3b17,1,74,FALSE,4,3,TRUE,16
04c9d51d-bdfc-4b1d-bd30-18c2d6cbb6e6,79200000,0,eb88325f-5388-4cf5-99ad-3c6295a105e9,1,63,FALSE,,4,TRUE,5
